,date,coeff,urel,tf,dt,Qib,Qaww,melt_flux_m3s,percentage
0,2016-04-24,1,0.01,5.73,50,4590469496.605303,240398885961.3739,59.0501395448605,1.9095219506727983
1,2016-04-24,1,0.05,6.67,50,27360364477.546455,279836050499.5399,351.7303839870241,9.777283673316937
2,2016-04-24,1,0.1,7.62,50,63778691572.90796,319692759341.30347,817.114312996017,19.94999564717008
3,2018-05-04,1,0.01,5.73,50,4618572949.833515,240398885961.3739,49.595267478804075,1.9212122932115434
4,2018-05-04,1,0.05,6.67,50,27527992303.063637,279836050499.5399,295.4247575581755,9.8371858286032
5,2018-05-04,1,0.1,7.62,50,64169693315.96497,319692759341.30347,686.5788687324133,20.0723011206699
6,2020-09-03,1,0.01,5.73,50,2984399096.9485736,240398885961.3739,45.308572586859434,1.2414363257191183
7,2020-09-03,1,0.05,6.67,50,17786426809.45553,279836050499.5399,269.86749611497316,6.356016952678072
8,2020-09-03,1,0.1,7.62,50,41458521025.296844,319692759341.30347,626.9082322153548,12.968238977547749
9,2023-07-27,1,0.01,5.73,50,5042833550.407843,240398885961.3739,86.08300923926814,2.0976942260947498
10,2023-07-27,1,0.05,6.67,50,30057899160.03247,279836050499.5399,512.7209894074392,10.74125335401769
11,2023-07-27,1,0.1,7.62,50,70069504093.80724,319692759341.30347,1191.8263986286022,21.917763867464117
12,2024-08-22,1,0.01,5.73,50,5291971539.396828,240398885961.3739,48.33442432671509,2.201329477145379
13,2024-08-22,1,0.05,6.67,50,31544079570.308735,279836050499.5399,287.9335799052789,11.27234304300639
14,2024-08-22,1,0.1,7.62,50,73536422690.71463,319692759341.30347,669.664385686132,23.002217141930096
15,2016-04-24,4,0.01,5.73,50,18361877986.42121,240398885961.3739,236.200558179442,7.638087802691193
16,2016-04-24,4,0.05,6.67,50,109042155805.81735,279836050499.5399,1401.7093679534992,38.96644324816778
17,2016-04-24,4,0.1,7.62,50,253195647504.3717,319692759341.30347,3252.5776765814053,79.19968160244144
18,2018-05-04,4,0.01,5.73,50,18474291799.33406,240398885961.3739,198.3810699152163,7.684849172846174
19,2018-05-04,4,0.05,6.67,50,109600097974.74391,279836050499.5399,1177.2140702222136,39.16582505331067
20,2018-05-04,4,0.1,7.62,50,254899692929.49716,319692759341.30347,2733.986660465604,79.73270757044787
21,2020-09-03,4,0.01,5.73,50,11937596387.794294,240398885961.3739,181.23429034743774,4.965745302876473
22,2020-09-03,4,0.05,6.67,50,70823200035.88377,279836050499.5399,1075.4146611794993,25.308819185182223
23,2020-09-03,4,0.1,7.62,50,163984249757.5382,319692759341.30347,2493.8631717481653,51.29432712064301
24,2023-07-27,4,0.01,5.73,50,20171334201.63137,240398885961.3739,344.33203695707255,8.390776904378999
25,2023-07-27,4,0.05,6.67,50,120072897637.86368,279836050499.5399,2045.877202728424,42.90830199451413
26,2023-07-27,4,0.1,7.62,50,278378298638.9765,319692759341.30347,4710.929830813608,87.0768231387375
27,2024-08-22,4,0.01,5.73,50,21167886157.58731,240398885961.3739,193.33769730686035,8.805317908581516
28,2024-08-22,4,0.05,6.67,50,125823146045.9905,279836050499.5399,1148.5827654505072,44.963165332480045
29,2024-08-22,4,0.1,7.62,50,292553688870.0029,319692759341.30347,2666.255818697142,91.51088985336483
